endTime,artistName,trackName,msPlayed,track_uri
2020-12-18 08:12,Taylor Swift,evermore (feat. Bon Iver),304106,spotify:track:3O5osWf1rSoKMwe6E9ZaXP
2020-12-18 08:13,Rachel Platten,Fight Song,32240,spotify:track:37f4ITSlgPX81ad2EvmVQr
2020-12-18 08:18,Two Steps from Hell,Star Sky,330579,spotify:track:06AMpcajziFnEKniV25fiU
2020-12-18 08:24,Thomas Bergersen,Empire of Angels,316533,spotify:track:3AnYGQ8PB3lYrA6ToVUXa3
2020-12-18 08:46,SVRCINA,Meet Me on the Battlefield,1207,spotify:track:440JCAtxU17JnElhbXjVl0
2020-12-18 08:46,John Powell,Test Drive - From How To Train Your Dragon Music From The Motion Picture,3970,spotify:track:2QTDuJIGKUjR7E2Q6KupIh
2020-12-18 08:50,Iván Torrent,Remember Me (feat. Roger Berruezo),224581,spotify:track:46UjKVKpPK4HyxkIEqQjFG
2020-12-18 08:53,League of Legends,Legends Never Die,235000,spotify:track:1FpVJ7HpZInE2GvhVE2TwT
2020-12-18 08:56,Two Steps from Hell,Never Back Down,175595,spotify:track:4boaU9XaS1g6U1nV4lEsMl
2020-12-18 08:57,Eurielle,Hate Me,24302,spotify:track:1yCOY3aISrl4ptQzVuZAmO
2020-12-18 09:00,Andy Black,We Don't Have To Dance,3332,spotify:track:13b32GfUIo3BV93C8KtEdj
2020-12-18 09:00,Ashes Remain,On My Own,172960,spotify:track:6VuztO5yaKP4VjqSkZxpan
2020-12-18 09:03,Simon Curtis,Superhero,1207,spotify:track:4ONObLBeax6CJmc15r9uCS
2020-12-18 09:03,Set It Off,Wolf in Sheep's Clothing,187880,spotify:track:4WXFDVe299Po8ih6Np54n2
2020-12-18 09:03,Arrows to Athens,Used to Be,963,spotify:track:7nMlSmCDDVxD5GYBJMUb4g
2020-12-18 09:03,Trading Yesterday,Shattered,18974,spotify:track:2jFus6Szb29hhxJ2juhQjS
2020-12-18 13:38,Ravenscode,My Escape,3065,spotify:track:3sgXbDvrgbTBIefz4lJDEp
2020-12-18 14:01,Kaleidoscope Orchestra,Set You Free,228293,spotify:track:6YpNCysfkP81f3PDZ8xh65
2020-12-18 14:05,Kaleidoscope Orchestra,Don't You Worry Child,249290,
2020-12-18 14:09,Kaleidoscope Orchestra,Titanium,244133,spotify:track:5ajTQApmPsjHckL99XFIXq
2020-12-18 14:13,Kaleidoscope Orchestra,Wish You Well,209240,spotify:track:1AV68mxeixhdBgKZDhuEmh
2020-12-18 14:17,Kaleidoscope Orchestra,Blinding Lights,231597,spotify:track:6DhYkkyVUmJewhMneyd3u4
2020-12-18 14:41,Kaleidoscope Orchestra,You've Got the Love,38525,
2020-12-18 15:09,LilyPichu,dreamy night,244480,spotify:track:3NyxWuYU0s2GA6oZgDRQep
2020-12-18 15:13,blink-182,I Miss You,227231,spotify:track:1oTo3ijRbaDAtrjJrGAPSw
2020-12-18 23:45,LilyPichu,dreamy night,245876,spotify:track:3NyxWuYU0s2GA6oZgDRQep
2020-12-18 23:49,League of Legends,Legends Never Die,235000,spotify:track:1FpVJ7HpZInE2GvhVE2TwT
2020-12-19 00:42,Cavetown,Lemon Boy,22705,spotify:track:3Yvk0ZLxMlt6ioasvdN6vB
2020-12-19 00:47,League of Legends,Legends Never Die,29315,spotify:track:1FpVJ7HpZInE2GvhVE2TwT
2020-12-19 00:47,LilyPichu,dreamy night,245876,spotify:track:3NyxWuYU0s2GA6oZgDRQep
2020-12-19 00:51,OneRepublic,Choke,226760,spotify:track:5xtliWYBVT4cKo9BtBn43B
2020-12-19 00:54,Rixton,Hotel Ceiling,190706,spotify:track:2s5B2qJSK8kbFyFRiRq06b
2020-12-19 00:58,The Vamps,Million Words,222479,spotify:track:2ZW2EGOOGV2voXGLkNU42Z
2020-12-19 01:20,MKTO,Monaco,1741,spotify:track:3GQnWBLRh9GiaP34RlbTbK
2020-12-19 01:20,Lifehouse,Firing Squad,17855,spotify:track:2l20UdNQnErIHAofdagVh4
2020-12-19 01:25,The Wanted,Could This Be Love,8281,spotify:track:5OHwyr1icA3MYqRMiSKAMu
2020-12-19 01:25,Sleeping At Last,Saturn,289792,spotify:track:3tJjZMHLqhD8DaGgdBICnc
